"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2023","0.1283","0.1282","0.1283","0.1282","","0.07%"
"11/16/2023","0.1282","0.1281","0.1282","0.1280","","0.07%"
"11/15/2023","0.1281","0.1281","0.1282","0.1281","","0.00%"
"11/14/2023","0.1281","0.1281","0.1281","0.1280","","0.04%"
"11/13/2023","0.1281","0.1280","0.1281","0.1280","","0.00%"
"11/10/2023","0.1280","0.1281","0.1282","0.1280","","0.00%"
"11/09/2023","0.1281","0.1280","0.1281","0.1279","","0.08%"
"11/08/2023","0.1280","0.1279","0.1280","0.1279","","0.07%"
"11/07/2023","0.1279","0.1279","0.1279","0.1278","","0.00%"
"11/06/2023","0.1279","0.1278","0.1279","0.1278","","0.05%"
"11/03/2023","0.1278","0.1278","0.1278","0.1278","","0.00%"
"11/02/2023","0.1278","0.1278","0.1278","0.1278","","0.00%"
"11/01/2023","0.1278","0.1278","0.1279","0.1278","","0.00%"
"10/31/2023","0.1278","0.1279","0.1279","0.1278","","-0.05%"
"10/30/2023","0.1279","0.1278","0.1279","0.1278","","0.00%"
"10/27/2023","0.1279","0.1279","0.1279","0.1278","","0.00%"
"10/26/2023","0.1279","0.1279","0.1279","0.1278","","0.00%"
"10/25/2023","0.1278","0.1278","0.1279","0.1278","","0.00%"
"10/24/2023","0.1278","0.1278","0.1279","0.1278","","0.00%"
"10/23/2023","0.1278","0.1278","0.1278","0.1278","","0.00%"
"10/20/2023","0.1278","0.1278","0.1279","0.1278","","0.00%"
"10/19/2023","0.1278","0.1277","0.1278","0.1277","","0.08%"
"10/18/2023","0.1277","0.1278","0.1278","0.1277","","-0.07%"
"10/17/2023","0.1278","0.1279","0.1279","0.1278","","-0.10%"
"10/16/2023","0.1279","0.1278","0.1279","0.1278","","0.10%"
"10/13/2023","0.1278","0.1278","0.1279","0.1278","","0.00%"
"10/12/2023","0.1278","0.1279","0.1279","0.1278","","-0.05%"
"10/11/2023","0.1279","0.1279","0.1279","0.1278","","0.00%"
"10/10/2023","0.1279","0.1277","0.1279","0.1277","","0.13%"
"10/09/2023","0.1277","0.1277","0.1277","0.1277","","0.00%"
"10/06/2023","0.1277","0.1277","0.1277","0.1277","","0.00%"
"10/05/2023","0.1277","0.1277","0.1278","0.1277","","0.00%"
"10/04/2023","0.1277","0.1277","0.1277","0.1277","","0.04%"
"10/03/2023","0.1277","0.1277","0.1277","0.1276","","0.00%"
"10/02/2023","0.1277","0.1277","0.1277","0.1277","","0.00%"
"09/29/2023","0.1277","0.1277","0.1278","0.1277","","0.00%"
"09/28/2023","0.1277","0.1279","0.1279","0.1277","","-0.11%"
"09/27/2023","0.1279","0.1279","0.1279","0.1278","","0.00%"
"09/26/2023","0.1278","0.1279","0.1279","0.1278","","-0.06%"
"09/25/2023","0.1279","0.1279","0.1280","0.1279","","0.05%"
"09/22/2023","0.1279","0.1279","0.1279","0.1278","","0.00%"
"09/21/2023","0.1279","0.1278","0.1279","0.1278","","0.00%"
"09/20/2023","0.1278","0.1279","0.1279","0.1278","","-0.04%"
"09/19/2023","0.1279","0.1279","0.1280","0.1279","","0.00%"
"09/18/2023","0.1279","0.1278","0.1279","0.1277","","0.10%"
"09/15/2023","0.1278","0.1277","0.1278","0.1277","","0.00%"
"09/14/2023","0.1277","0.1278","0.1278","0.1277","","0.00%"
"09/13/2023","0.1278","0.1278","0.1278","0.1277","","0.00%"
"09/12/2023","0.1278","0.1277","0.1278","0.1276","","0.07%"
"09/11/2023","0.1277","0.1275","0.1277","0.1275","","0.11%"
"09/08/2023","0.1275","0.1276","0.1276","0.1275","","0.00%"
"09/07/2023","0.1276","0.1275","0.1276","0.1275","","0.00%"
"09/06/2023","0.1275","0.1275","0.1275","0.1275","","0.00%"
"09/05/2023","0.1275","0.1276","0.1276","0.1275","","-0.10%"
"09/04/2023","0.1276","0.1275","0.1277","0.1274","","0.15%"
"09/01/2023","0.1275","0.1275","0.1275","0.1274","","-0.05%"
"08/31/2023","0.1275","0.1274","0.1275","0.1274","","0.08%"
"08/30/2023","0.1274","0.1274","0.1275","0.1274","","0.00%"
"08/29/2023","0.1274","0.1275","0.1275","0.1274","","0.00%"
"08/28/2023","0.1275","0.1275","0.1275","0.1274","","0.00%"
"08/25/2023","0.1275","0.1275","0.1275","0.1275","","0.00%"
"08/24/2023","0.1275","0.1275","0.1276","0.1275","","0.00%"
"08/23/2023","0.1275","0.1276","0.1276","0.1275","","-0.06%"
"08/22/2023","0.1276","0.1276","0.1277","0.1276","","0.00%"
"08/21/2023","0.1276","0.1277","0.1277","0.1276","","-0.06%"
"08/18/2023","0.1277","0.1277","0.1278","0.1277","","-0.04%"
"08/17/2023","0.1277","0.1277","0.1278","0.1277","","0.00%"
"08/16/2023","0.1277","0.1278","0.1278","0.1277","","-0.10%"
"08/15/2023","0.1278","0.1279","0.1279","0.1278","","-0.04%"
"08/14/2023","0.1279","0.1279","0.1280","0.1279","","0.00%"
"08/11/2023","0.1279","0.1279","0.1280","0.1279","","0.00%"
"08/10/2023","0.1279","0.1279","0.1280","0.1279","","0.00%"
"08/09/2023","0.1279","0.1280","0.1280","0.1278","","-0.09%"
"08/08/2023","0.1280","0.1281","0.1281","0.1280","","-0.09%"
"08/07/2023","0.1281","0.1280","0.1281","0.1280","","0.05%"
"08/04/2023","0.1280","0.1281","0.1281","0.1280","","-0.06%"
"08/03/2023","0.1281","0.1282","0.1282","0.1281","","-0.06%"
"08/02/2023","0.1282","0.1283","0.1283","0.1282","","-0.10%"
"08/01/2023","0.1283","0.1282","0.1283","0.1282","","0.06%"
"07/31/2023","0.1282","0.1283","0.1283","0.1282","","0.00%"
"07/28/2023","0.1283","0.1282","0.1283","0.1281","","0.08%"
"07/27/2023","0.1282","0.1282","0.1283","0.1281","","0.00%"
"07/26/2023","0.1282","0.1280","0.1282","0.1280","","0.14%"
"07/25/2023","0.1280","0.1280","0.1280","0.1280","","0.00%"
"07/24/2023","0.1280","0.1279","0.1280","0.1279","","0.05%"
"07/21/2023","0.1279","0.1280","0.1280","0.1279","","-0.04%"
"07/20/2023","0.1280","0.1281","0.1281","0.1280","","-0.06%"
"07/19/2023","0.1280","0.1280","0.1282","0.1280","","0.06%"
"07/18/2023","0.1280","0.1280","0.1280","0.1279","","0.00%"
"07/17/2023","0.1280","0.1280","0.1281","0.1280","","0.00%"
"07/14/2023","0.1280","0.1278","0.1280","0.1278","","0.10%"
"07/13/2023","0.1278","0.1278","0.1279","0.1278","","0.05%"
"07/12/2023","0.1278","0.1278","0.1278","0.1277","","0.00%"
"07/11/2023","0.1278","0.1277","0.1278","0.1277","","0.00%"
"07/10/2023","0.1277","0.1278","0.1278","0.1277","","0.00%"
"07/07/2023","0.1278","0.1278","0.1279","0.1277","","-0.07%"
"07/06/2023","0.1278","0.1278","0.1280","0.1278","","0.00%"
"07/05/2023","0.1278","0.1277","0.1279","0.1277","","0.11%"
"07/04/2023","0.1277","0.1276","0.1277","0.1276","","0.04%"
"07/03/2023","0.1276","0.1276","0.1277","0.1276","","0.00%"
"06/30/2023","0.1276","0.1276","0.1277","0.1276","","0.00%"
"06/29/2023","0.1276","0.1277","0.1277","0.1276","","-0.07%"
"06/28/2023","0.1277","0.1277","0.1277","0.1276","","0.00%"
"06/27/2023","0.1276","0.1277","0.1277","0.1276","","-0.05%"
"06/26/2023","0.1277","0.1277","0.1278","0.1277","","0.00%"
"06/23/2023","0.1277","0.1277","0.1278","0.1277","","0.00%"
"06/22/2023","0.1277","0.1278","0.1278","0.1277","","0.00%"
"06/21/2023","0.1277","0.1278","0.1278","0.1277","","0.00%"
"06/20/2023","0.1278","0.1279","0.1280","0.1278","","-0.11%"
"06/19/2023","0.1279","0.1279","0.1280","0.1278","","0.05%"
"06/16/2023","0.1279","0.1279","0.1279","0.1278","","0.00%"
"06/15/2023","0.1279","0.1277","0.1279","0.1277","","0.13%"
"06/14/2023","0.1277","0.1277","0.1277","0.1276","","0.00%"
"06/13/2023","0.1277","0.1276","0.1277","0.1276","","0.00%"
"06/12/2023","0.1276","0.1276","0.1277","0.1275","","0.04%"
"06/09/2023","0.1276","0.1276","0.1277","0.1275","","0.00%"
"06/08/2023","0.1276","0.1275","0.1277","0.1275","","0.07%"
"06/07/2023","0.1275","0.1275","0.1276","0.1275","","0.00%"
"06/06/2023","0.1275","0.1276","0.1276","0.1275","","-0.07%"
"06/05/2023","0.1276","0.1276","0.1276","0.1276","","0.00%"
"06/02/2023","0.1276","0.1277","0.1277","0.1276","","-0.10%"
"06/01/2023","0.1277","0.1277","0.1277","0.1276","","0.00%"
"05/31/2023","0.1277","0.1276","0.1278","0.1276","","0.06%"
"05/30/2023","0.1276","0.1277","0.1278","0.1276","","-0.08%"
"05/29/2023","0.1277","0.1277","0.1278","0.1276","","0.06%"
"05/26/2023","0.1277","0.1276","0.1277","0.1276","","0.00%"
"05/25/2023","0.1276","0.1277","0.1278","0.1276","","-0.07%"
"05/24/2023","0.1277","0.1276","0.1278","0.1276","","0.11%"
"05/23/2023","0.1276","0.1277","0.1278","0.1276","","-0.12%"
"05/22/2023","0.1277","0.1279","0.1280","0.1277","","-0.16%"
"05/19/2023","0.1279","0.1278","0.1281","0.1278","","0.15%"
"05/18/2023","0.1278","0.1277","0.1278","0.1277","","0.04%"
"05/17/2023","0.1277","0.1276","0.1277","0.1276","","0.10%"
"05/16/2023","0.1276","0.1276","0.1277","0.1276","","0.00%"
"05/15/2023","0.1276","0.1275","0.1276","0.1275","","0.05%"
"05/12/2023","0.1275","0.1276","0.1276","0.1275","","-0.08%"
"05/11/2023","0.1276","0.1277","0.1278","0.1276","","-0.06%"
"05/10/2023","0.1277","0.1275","0.1277","0.1275","","0.12%"
"05/09/2023","0.1275","0.1274","0.1275","0.1274","","0.10%"
"05/08/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"05/05/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"05/04/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"05/03/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"05/02/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"05/01/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/28/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/27/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/26/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/25/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/24/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/21/2023","0.1274","0.1274","0.1275","0.1274","","0.00%"
"04/20/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/19/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/18/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/17/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/14/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/13/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/12/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/11/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/10/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/07/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/06/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/05/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/04/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"04/03/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/31/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/30/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/29/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/28/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/27/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/24/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/23/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/22/2023","0.1274","0.1275","0.1275","0.1274","","0.00%"
"03/21/2023","0.1275","0.1275","0.1276","0.1274","","-0.06%"
"03/20/2023","0.1275","0.1274","0.1275","0.1274","","0.11%"
"03/17/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/16/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/15/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/14/2023","0.1274","0.1275","0.1276","0.1274","","-0.05%"
"03/13/2023","0.1275","0.1274","0.1276","0.1274","","0.00%"
"03/10/2023","0.1274","0.1274","0.1275","0.1274","","0.04%"
"03/09/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/08/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/07/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/06/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
"03/03/2023","0.1274","0.1274","0.1274","0.1274","","0.00%"
