Application	Panel_Maker	6/30/2024	5/31/2024	4/30/2024	3/31/2024	2/29/2024	1/31/2024	12/31/2023	11/30/2023	10/31/2023	9/30/2023	8/31/2023	7/31/2023	6/30/2023	5/31/2023	4/30/2023	3/31/2023	2/28/2023	1/31/2023	12/31/2022	11/30/2022	10/31/2022	9/30/2022	8/31/2022	7/31/2022
Portable PC	Hannstar	53	25		41	17		16.3	70	150	185	7	5	42		105	75		45	75	66	19		60.4	30
Portable PC	InfoVision Optoelectronics	356	395	415	446	410	388	386	441	435	431	421	536	518	456	368	415	337	356	365	365	368	458	425	520
Portable PC	Innolux	3102	3414.01	2374.03	2864.28	1821	2383	2901	2899.1	2189	3466	3495	3118	3475	3244	2850.4	2771.9	2426.1	1871.4	2776.22	2201.11	2122.4	3179.2	2296.9	2085.5
Portable PC	Japan Display																								
Portable PC	LG Display	2968.2	2818	1466	2365.1	1796.1	1207.5	3252	2222.1	2298.7	2335.5	2125.5	1807	2921	2335	1874	2244.5	1322	1796	2394	1999	1597	2836	2659.5	3556.2
Portable PC	Panasonic																								
Portable PC	Sharp	381.7	301.4	380.4	315	155	154.9	380.9	495	521.8	771	797	609	421	363	403	311	245	153.6	366	442.6	564	927	993.7	1035
Portable PC	Tianma Micro-electronics	167	90.2	56.2	191	100	180	165	170	179	168	184	146	170	171	122	90	90	85	100	57	45	65	34	100
TV Panel	LG Display																								
TV Panel	SDC																								
Tablet	AUO	51	82	75	127	64	51	25	64	72	72	18	61	90	272	133	7	102	5	29	22	14	24	70	4
Tablet	BOE Technology Group	9318	8762	8026	8898	6382	6649	6552	6903	5402	5808	5977	6024	7125	7882	8153	9675	7373	4035	7797	6564	7555	7214	6230	7777
Tablet	CEC PANDA																								
Tablet	CSOT	999	950	731	681	611	719	639	474	327	372	399	315	312	440	405	377	345	282	329	346	204	405	370	425
Tablet	Century																								
Tablet	Chunghwa Picture Tubes																								
Tablet	HKC	79	651	112.5	718	754	842.6	1032	244	557	371	566	951	445	1449	1225	907	1233	652	1286	710	766	1131	595	704
Tablet	Hannstar	315	635	339	350	774	1096	522	1135	1127	450	1236	936	943	1271	3525	1418	721	723	937	1398	891	306	1733	1616
Tablet	InfoVision Optoelectronics	98	146	141	125	116	74	53	99	89	69	52.6	77.03	99	220	206	200	114		75	38	102	31	10	40
Tablet	Innolux	1849	2701	2714	2592	1725	1695	1455	1404	1978	1991	1680	1327	3211	3559	2839	3215	3258	2319	2585	2172	2130	2192	1797	1268
Tablet	LG Display	2937	2089	1691	2742	1183	1456	3673	2381.5	1619	2795	1994	1176	2583	1619	1458	2720	1143	2153	2414.5	3032	2454	3180	2643	2708
Tablet	Panasonic																								
Tablet	Sharp	383.1	290.1	268.2	505	200.6	736.7	445	547	546	677	375	348	954	853	769	775	425	563.4	1353	1888.5	1980	1897	1208.4	709
Tablet	Tianma Micro-electronics	356	285	282	291	247	323	476	316	264	323	357	330	427	367	320	487	323	185	354	234	264	187	244	120
